mae,rmse,psnr_db,ssim,gradient_correlation,high_change_fraction,pair,label,width_px,height_px,valid_coverage,cloud_screened_fraction,analysis_coverage,residual_shift_x_px,residual_shift_y_px,phase_correlation_response,dinov2_cosine,dinov2_tiles
0.1160711795091629,0.16363921761512756,15.72225211198038,0.39067578315734863,0.5322974505021232,0.3294947499745935,maxar,Maxar pre-event vs post-Milton,1402,1600,0.8158554743223966,0.0,0.8158554743223966,-0.340074529251865,-0.8860647890057862,0.48470345685217114,0.7729199528694153,30
0.06517022103071213,0.09528885781764984,20.41915757405674,0.6903889179229736,0.7229895183983654,0.048219193725457625,noaa,NOAA post-Helene vs post-Milton,1600,1600,0.912841796875,0.0,0.912841796875,0.018024894689574467,0.12019740319601624,0.7309179801940918,0.8190755248069763,33
0.039286207407712936,0.06610968708992004,23.59469796869802,0.9088753461837769,0.9464325023947353,0.015842603709365452,sentinel2,Sentinel-2 pre-event vs post-Milton,1264,2000,0.987240506329114,0.55934375,0.42789675632911395,0.07807443880051324,0.05073140697470535,0.7975093356788159,0.8061885833740234,10
